Title,Genre,Director,Cast,Source
I Don't Luv U,"Romance, Drama",Amit Kasaria,"Ruslaan Mumtaz, Chetna Pande[47]",
Beehad - The Ravines,Drama,Krishna Mishra,"Maan Singh Deep, Mangal Singh, Sunil Sawara[48]",
Ishkq in Paris,Romance,Prem Raj,"Preity Zinta, Rhehan Malliek, Isabelle Adjani[49]",
Hum Hai Raahi CAR Ke,"Romance, Comedy",Jyotin Goel,"Adah Sharma, Dev Goel, Sanjay Dutt, Juhi Chawla, Chunky Pandey[50]",
Zindagi 50-50,Social,Rajiv S. Ruia,"Riya Sen, Rajan Verma, Veena Malik, Arya Babbar, Supriya Kumari, Rajpal Yadav[51]",
Yeh Jawaani Hai Deewani,"Romance, Comedy",Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur, Kalki Koechlin, Evelyn Sharma, Kunal Roy Kapoor[52]",
Yamla Pagla Deewana 2,"Comedy, Action",Sangeeth Sivan,"Dharmendra, Sunny Deol, Bobby Deol, Neha Sharma, Kristina Akheeva[53]",
Fukrey,Comedy,Mrigdeep Singh Lamba,"Pulkit Samrat, Manjot Singh, Ali Fazal, Richa Chadda, Vishakha Singh, Priya Anand, Pankaj Tripathi[54]",
Ankur Arora Murder Case,Thriller,Suhail Tatari,"Kay Kay Menon, Paoli Dam, Arjun Mathur, Vishakha Singh, Harsh Chhaya[55]",
Raanjhanaa,Romance,Anand L. Rai,"Dhanush, Sonam Kapoor, Abhay Deol, Swara Bhaskar, Mohammed Zeeshan Ayyub[56]",
Enemmy,Action,Ashu Trikha,"Mithun Chakraborty, Sunil Shetty, Mahakshay Chakraborty, Kay Kay Menon, Johnny Lever, Mahesh Manjrekar, Yuvika Chaudhary[57]",
Shortcut Romeo,"Romance, Thriller",Susi Ganeshan,"Neil Nitin Mukesh, Ameesha Patel, Puja Gupta[58]",
Ghanchakkar,"Comedy, Thriller",Rajkumar Gupta,"Emraan Hashmi, Vidya Balan[59]",
Lootera,"Romance, Thriller",Vikramaditya Motwane,"Ranveer Singh, Sonakshi Sinha[60]",
Policegiri,Action,K. S. Ravikumar,"Sanjay Dutt, Prakash Raj, Om Puri, Prachi Desai[61]",
Bhaag Milkha Bhaag,Biopic,Rakeysh Omprakash Mehra,"Farhan Akhtar, Sonam Kapoor, Divya Dutta, Pawan Malhotra[62]",
Sixteen,Drama,Raj Purohit,"Izabelle Leite, Darshan Jariwala, Wamiqa Gabbi, Highphill Mathew, Rohan Mehra[63]",
B.A. Pass,Drama,Ajay Bahl,"Shilpa Shukla, Shadab Kamal, Rajesh Sharma[64]",
Boyss Toh Boyss Hain,Comedy,Amit Vats,"Raj Kumar Yadav, Anshuman Jha, Divya Dutta, Sharat Saxena, Dhruv Ganesh, Aarya Kumar[65]",
Ramaiya Vastavaiya,"Romance, Comedy",Prabhudeva,"Girish Kumar, Shruti Haasan[66]",
D Day,"Action, Drama",Nikhil Advani,"Arjun Rampal, Rishi Kapoor, Shruti Haasan, Irrfan Khan, Huma Qureshi[67]",
Ship of Theseus,,Anand Gandhi,"Aida Al-Khashef, Niraj Kabi, Sohum Shah, Vinay Shukla[68]",
Issaq,"Romance, Drama",Manish Tiwary,"Prateik Babbar, Rajeshwari Sachdev, Evelyn Sharma, Ravi Kishan, Makarand Deshpande[69]",
Bajatey Raho,Comedy,Shashant Shah,"Vinay Pathak, Ranvir Shorey, Ravi Kishan, Dolly Ahluwalia[70]",
Luv U Soniyo,Romance,Joe Rajan,"Tanuj Virwani, Neha Hinge[71]",
Nasha,"Erotic, Thriller",Amit Saxena,"Poonam Pandey, Shivam, Ranbir Chakma[72]",
Rabba Main Kya Karoon,Comedy,Amrit Sagar Chopra,"Arshad Warsi, Akash Chopra, Tahira Kochchar, Paresh Rawal[73]",
Chor Chor Super Chor,Comedy,K. Rajesh,"Deepak Dobriyal, Anshul Kataria, Priya Bathija, Paru Uma[74]",
Calapor,"Thriller, Drama",Dinesh P. Bhonsle,"Rituparna Sengupta, Priyanshu Chatterjee, Raghubir Yadav, Harsh Chhaya[75]",
Love in Bombay,Romance,Joy Mukherjee,"Joy Mukherjee, Waheeda Rehman, Rehman, Ashok Kumar[76]",
Chennai Express,"Comedy, Action",Rohit Shetty,"Shah Rukh Khan, Deepika Padukone[77]",
Once Upon Ay Time In Mumbai Dobaara!,"Crime, Romance",Milan Luthria,"Akshay Kumar, Imran Khan, Sonakshi Sinha, Sonali Bendre, Mahesh Manjrekar[78]",
Madras Cafe,"Drama, Espionage, Thriller",Shoojit Sircar,"John Abraham, Nargis Fakhri",
Satyagraha,"Political, Thriller",Prakash Jha,"Amitabh Bachchan, Ajay Devgn, Kareena Kapoor, Arjun Rampal, Amrita Rao, Manoj Bajpai[79]",
Zanjeer,"Action, Thriller",Apoorva Lakhia,"Ram Charan, Priyanka Chopra, Sanjay Dutt, Mahie Gill, Prakash Raj, Atul Kulkarni[80]",
Shuddh Desi Romance,Romance,Maneesh Sharma,"Sushant Singh Rajput, Parineeti Chopra, Vaani Kapoor, Rishi Kapoor[81]",
Siddharth,Drama,Richie Mehta,Rajesh Tailang,
Grand Masti,"Adult, Comedy",Indra Kumar,"Ritesh Deshmukh, Vivek Oberoi, Aftab Shivdasani, Karishma Tanna, Manjari Phadnis, Bruna Abdullah, Kainaat Arora[82]",
John Day,Thriller,Ahishor Solomon,"Naseeruddin Shah, Randeep Hooda[83]",
Horror Story,Horror,Ayush Raina,"Karan Kundra, Nishant Malkani, Ravish Desai, Hasan Zaidi, Sheetal Singh, Aparna Bajpai, Radhika Menon, Nandini Vaid[84]",
Phata Poster Nikla Hero,"Romance, Comedy, Action",Rajkumar Santoshi,"Shahid Kapoor, Ileana D'Cruz, Parul Yadav, Padmini Kolhapure, Darshan Jariwala[85]",
The Lunchbox,Drama,Ritesh Batra,"Irrfan Khan, Nawazuddin Siddiqui, Bharati Achrekar[86]",
Warning,Thriller,Gurmmeet Singh,"Santosh Barmola, Suzana Rodrigues, Manjari Fadnis, Varun Sharma, Jitin Gulati, Sumit Suri, Madhurima Tuli[87]",
Maazii,"Suspense, Thriller",Jaideep Chopra,"Sumeet Nijhawan, Mona Wasu, Pankaj Tripathi, Mohd. Zeeshan Ayyub, Manish Chaudhary[88]",
Prague,"Psychological, Thriller, Romance",Ashish R Shukla,"Chandan Roy Sanyal, Elena Kazan, Arfi Lamba, Kumar Mayank[89]",
Super Model,Drama,Navin Batra,"Veena Malik, Ashmit Patel, Jackie Shroff[90]",
War Chhod Na Yaar,"War, Comedy",Faraz Haider,"Sharman Joshi, Javed Jaffrey, Soha Ali Khan, Sanjai Mishra[91]",
Baat Ban Gayi,Comedy,Shuja Ali,"Ali Fazal, Gulshan Grover, Anisa[92]",
Pazhassi Raja,"Historical, Fiction",Hariharan,"Mammootty, Manoj K. Jayan, Sarathkumar, Suresh Krishna, Padmapriya Janakiraman, Kanika Subramaniam[93]",
Ek Thee Sanam,Drama,Monish Kaushal,"Nisha Triloki, Rajender Thakur, Gopal Thakur[94]",
Paapi - Ek Satya Katha,Crime,Aziz Sejawal,"Arya Babbar, Prosenjit Chatterjee, Sayantika Banerjee, Pooja Bharti, Rajesh Sharma, Harish Patel[95]",
Boss,Masala,Anthony D'Souza,"Akshay Kumar, Mithun Chakraborty, Danny Denzongpa, Ronit Roy, Sonakshi Sinha, Aditi Rao Hydari, Shiv Pandit, Johny Lever[96]",
Shahid,"Drama, Biography",Hansal Mehta,"Rajkummar Rao, Tigmanshu Dhulia, Kay Kay Menon, Prabal Panjabi[97]",
Wake Up India,"Political, Drama",Babloo Seshadri,"Chirag Patil, Sai Tamhankar, Manoj Joshi, Aanjjan Srivastav, Mukesh Tiwari, Mohan Joshi, Milind Gunaji, Anant Jog, Adi Irani, Mushtaq Khan, Atul Parchure, Asrani, Anjula Singh Mahor[98]",
Amdavad Junction,"Crime, Drama",Apurv Bajpai,"Rohan Jardosh, Saurabh Singh, Gunjan Vyas, Touqeer Khan, Ishita Salot, Devendra Trivedi, Hitesh Patel, Swapna Nair[99]",
Dilli Gang,Crime,Ashish Tyagi,"Darshan Jariwala, Neena Kulkarni, Yashpal Sharma, Amir Dalvi, Asif Basra, Asif Ali[100]",
Mickey Virus,"Comedy, Thriller",Saurabh Varma,"Manish Paul, Elli Avram, Varun Badola, Manish Chaudhary, Puja Gupta[101]",
Ishk Actually,Romance,Anish Khanna,"Rajeev Khandelwal, Rayo Bakhirta, Neha Ahuja, Ann Mitchai, Neha Ghelot, Siddharth Van Shipley[102]",
Sooper Se Ooper,Comedy,Shekhar Ghosh,"Vir Das, Kirti Kulhari, Gulshan Grover, Deepak Dobriyal, Yashpal Sharma[103]",
Krrish 3,Superhero,Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra, Kangana Ranaut, Vivek Oberoi[104]",
Satya 2,Crime,Ram Gopal Varma,"Puneet Singh Ratn, Anaika Soti,[105] Mahesh Thakur, Aradhna Gupta,[106][107] Raj Premi, Vikram Singh[108]",
Rajjo,Romance,Vishwas Patil,"Kangana Ranaut, Paras Arora, Mahesh Manjrekar, Prakash Raj, Jaya Prada",
Goliyon Ki Rasleela Ram-Leela,"Romance, Drama",Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Richa Chadda, Supriya Pathak[109]",
Gori Tere Pyaar Mein,"Romance, Comedy",Punit Malhotra,"Imran Khan, Kareena Kapoor, Shraddha Kapoor, Anupam Kher[110]",
Singh Saab The Great,Action,Anil Sharma,"Sunny Deol, Amrita Rao, Johny Lever, Urvashi Rautela[111]",
Bullett Raja,"Comedy, Crime, Romance",Tigmanshu Dhulia,"Saif Ali Khan, Sonakshi Sinha, Jimmy Shergill, Vidyut Jamwal, Chunky Pandey, Sunny Leone[112]",
R... Rajkumar,"Action, Romance",Prabhudeva,"Shahid Kapoor, Sonakshi Sinha, Sonu Sood, Asrani, Ashish Vidyarthi[113]",
Jackpot,"Thriller, Comedy",Kaizad Gustad,"Sachiin J Joshi, Naseeruddin Shah, Sunny Leone[114]",
What the Fish,Drama,Gurmmet Singh,"Dimple Kapadia, Manu Rishi, Manjot Singh, Anand Tiwari[115]",
Dhoom 3,Action,Vijay Krishna Acharya,"Aamir Khan, Abhishek Bachchan, Katrina Kaif, Uday Chopra",
