Title,Director,Cast,Genre,Notes
Sathi,P. Y. Altekar,"Durga Khote, Mubarak, Vimla Sardesai, Nyampalli, Salvi, Bachchu, Kaka Joglekar",Social,"Nataraj Films. Music: Govindrao Tembe
Lyrics: Pandit Anand Kumar"
The Secretary,Chaturbhuj Doshi,"Madhuri, Trilok Kapoor, Rajkumari, Charlie, Waheedan Bai, Kalyani Das",Social,"Ranjit Pictures. Music: Gyan Dutt
Lyrics: Pyare Lal Santoshi"
Sharif Daku,G. R. Sethi,"Navinchandra, Padma Devi, Noor Jehan, Ghulam Hussain, F. M. Butt, Mukhtar, Baburao",Action,"Jaybharat Movies. Music: Shanti Kumar Desai
Lyrics: G. R. Sethi"
Sneh Lagna,Chandrarao Kadam,"Hansa Wadkar, Chandrarao, Shyam Sunder, Ansuya, Jeevan, Fakir Mohammed, Gangaprasad Pathak","Social, Drama","Chandra Art. Music: Mulraj Kapadia
Lyrics: D. N. Madhok"
State Express,Vijay Bhatt,"Sardar Akhtar, Jayant, M. Zahur, Shirin, Lallubhai Nayak, Ismail, Jahangir, Vithaldas, Athavale, Umakant",Action,"Prakash Pictures. Music: Lallubhai Nayak
Lyrics: Pandit Anuj"
Stree,Saqi,"Shakuntala, Roshan Ara Begum, Mirajkar, Amir Hussain",Social,"Radio Sound Pictures. Music:
Lyrics:"
Street Singer,Phani Majundar,"K. L. Saigal, Kanan Devi, Jagdish Sethi, Brij Pal, Bikram Kapoor, Shabir, A. H. Shore, Abdul Rehman, Rekha, Chamanlal, Vaid, Purnima Devi, Ram Kumari","Social, Romance, Musical","New Theatres Music: R. C. Boral
Lyrics: Arzu Lucknavi"
Sunehra Baal,Narottam Vyas,"Radharani, Firoz Dastur, Badri Prasad, Vasantrao Pehalwan, Indurani, Sharifa",Action,"Raj Movietone. Music: Firoz Dastur
Lyrics:"
Talaq a.k.a. Divorce,Sohrab Modi,"Naseem Banu, Prem Adib, Sohrab Modi, Gajanan Jagirdar, Navin Yagnik, Sheela, Vimla Vashishta, Abu Bakar, Sheela, Khan Mastana, Sunalini Devi, Khwaja Sabir","Social, Family, Drama","Minerva Movietone. Music: Mir Sahib
Lyrics: Pandit Anand Kumar"
Talwar Ka Dhani,Dhirubhai Desai,"Anil Kumar, Mehar Sultana, Ghulam Hussain, Urmila, Putlibai, Anwaribai, Samson",Action,"Vishnu Music: Kikubhai Yagnik
Lyrics:"
Tarzan Ki Beti,Roop K. Shorey,"Majnu, Shama Devi, Jeevan, G. N. Butt, Nafees Begum, Manek, Harold Lewis, Baig",Action,"Aurora Film Corporation. Music: Anupam Ghatak
Lyrics:"
Teen Sau Din Ke Baad a.k.a. Three Hundred Days And After,Sarvottam Badami,"Motilal, Sabita Devi, Yakub, Bibbo, Pesi Patel, Sankatha Prasad, Gulzar, Pande, Rukmani, Piroz Wadkar, Yusuf",Social,"Sagar Pictures. Music: Anil Biswas
Lyrics: Zia Sarhadi"
Toofan Express,Chunilal Parekh,"Jal Merchant, Rajkumari, Agha, Nazira, Chandrashekhar, Gulshan, Shahzadi, Dalpat, Nurjahan, Master Mohammed, Bismillah, Minoo Cooper, Agha",Action,"Sunder Movies. Music: Baldev Naik
Lyrics: Chunilal Parekh"
Vachan,Franz Osten,"Devika Rani, Ashok Kumar, Mumtaz Ali, P. F. Pithawala, Balwant Singh, Maya Devi, Kamta Prasad, Mira, Agha Jani, Saroj Borkar, M. Nazir, Rajendranath","Costume, Romance, Drama","Rajendranath's first film. Bombay Talkies. Music: Saraswati Devi
Lyrics: J. S. Kashyap"
Vasant Bengali,Aspi Irani,"Yashwant Dave, Husn Banu, Ghulam Rasool, Lakshmi, Asooji, Jumna, Sayed Ahmed",Costume,"Imperial Film Company. Music: Ram Gopal Pande
Lyrics: Sahil Bilgrami"
Vasanti,K. M. Multani,"Naseem Banu, Navin Yagnik, Shanta Dutt, Putlibai, Sadiq Ali, Jamshedji, Khwaja Sabir, Ghulam Hussain, Abu Bakar",Social,"Minerva Movietone. Music: Govindrao Tembe, Mir Sahib
Lyrics: Abdul Baqi"
Veer Bala,Abdul Rehman Kabuli,"Indurani, Pushparani, A. R. Kabuli, Shiraz, Sher Ali, Baburao Pehalwan, Dhirajlal, Firoza Begum, Azar Ansari, Vidya Devi, Garib Shah, Haroon",Devotional,"Mohan Pictures. Music: Amulya Charan Biswas
Lyrics: A. R. Kabuli"
Vijay Danka,Baburao Apte,"Benjamin, Leela Chitnis, Putlibai, Gohar Karnataki, S. Nazir, Amritlal, Gulab, Khatoon, Amritlal Nagar",Action,"Jay Bharat Music: Sagar Asif
Lyrics: G. S. Akhtar"
Watan,Mehboob Khan,"Kumar, Bibbo, Yakub, Maya Devi, Sitara Devi, Sankatha Prasad, Kayam Ali, Ramchandra, Agashe, Mirza, H. Siddiqi","Costume, Drama","Sagar Pictures. Music: Anil Biswas
Lyrics: Wajahat Mirza"
Yangrilla,M. D. Bhavnani,"Enakshi Rama Rau, NayampallyI, David, S. L. Puri, Fatty Prasad, Sharifa, Rai Mohan",Action,"Bhavnani Productions. Music: Badri Prasad
Lyrics:"
Zamana,Ram Daryani,"Nazir, Padma Devi, Hansa Wadkar, Jeevan, Majid, Vasant, Ameena, Bansi Karnataki, Gope, Gulab",Social,"Krishna Movies. Music: Sunderdas Bhatia
Lyrics: D. N. Madhok"
