Title,Director,Cast,Genre,Sources
Khoon Aur Paani,,"Feroz Khan, Jeetendra",,
Khoon Ka Rishta,Samir Ganguly,"Mukri, Prashanth, Jagdeep, Jeetendra, Pran",,
Khoon Ki Takkar,,"Ranjeeta Kaur, Vinod Mehra, Neeta Mehta, Ranjeet",,
Khuda Kasam,,"Vinod Khanna, Tina Munim, Pran",,
Kranti,Manoj Kumar,"Dilip Kumar, Manoj Kumar, Shashi Kapoor, Shatrughan Sinha, Hema Malini, Parveen Babi","Action, Patriotic",
Krodhi,Subhash Ghai,"Dharmendra, Shashi Kapoor, Zeenat Aman, Hema Malini, Sachin, Poonam Dhillon, Pran, Premnath",,
Kudrat,Chetan Anand,"Rajesh Khanna, Vinod Khanna, Hema Malini, Priya Rajhans, Raajkumar",,
Laawaris,Prakash Mehra,"Amitabh Bachchan, Zeenat Aman, Amjad Khan, Raakhee, Ranjeet, Suresh Oberoi, Priti Sapru, Shriram Lagoo",,
Ladaaku,,"Vijay Arora, Jagdeep, Shakti Kapoor, Amjad Khan",,
Ladies Tailor,,"Sanjeev Kumar, Reena Roy, Pran",,
Laparwah,Ravikant Nagaich,"Prem Bedi, Birbal, Mithun Chakraborty",,
Love Story,Rajendra Kumar,"Kumar Gaurav, Vijeta Pandit, Rajendra Kumar, Danny, Amjad Khan",Romance,
Maan Gaye Ustaad,,Pran,,
Madhuman,,,,
Mahabali Hanuman,,,,
Mahfil,,,,
Main Aur Mera Haathi,,,,
Mangalsutra,,Rekha,,
Meena Kumari Ki Amar Kahani,,,,
Meri Aawaz Suno,,,,
Nai Imarat,,,,
Nakhuda,,"Raj Kiran, Swaroop Sampat, Kulbhushan Kharbanda",,
Naram Garam,Hrishikesh Mukherjee,"Amol Palekar, Swaroop Sampat, Shatrughan Sinha, Utpal Dutt, A. K. Hangal, Kiran Vairahle",Comedy,
Nari,,,,
Naseeb,Manmohan Desai,"Amitabh Bachchan, Shatrughan Sinha, Rishi Kapoor, Hema Malini, Reena Roy, Pran, Kader Khan, Amjad Khan Amrish Puri","Action, Comedy, Romance",
Paanch Qaidi,,,,
Pehla Adhyay,,,,
Plot No. 5,,,,
Poonam,,"Raj Babbar, Poonam Dhillon & Shakti Kapoor",,
Prem Geet,,Raj Babbar & Anita Raj,,
Professor Pyarelal,,"Dharmendra, Zeenat Aman & Vinod Mehra",,
Pyaasa Sawan,,"Jeetendra, Moshumi Chatterjee & Reena Roy",,
Raaz,Harmesh Malhotra,"Raj Babbar, Helen",Drama,
"Raj, Roohi",,,,
Roohi,,,,
Rocky,Sunil Dutt,"Sanjay Dutt, Tina Munim, Reena Roy, Ranjeet, Shakti Kapoor & Amjad Khan",,
Saajan Ki Saheli,Sawaan Kumar,"Nutan, Rajendra Kumar, Vinod Mehra & Rekha",,
Sadgati,Satyajit Ray,"Om Puri, Smita Patil",Drama,
Sahhas,,Mithun Chakraborty,,
Sameera,,,,
Sannata,,,,
Sansani: The Sensation,,,,
Shakka,,"Jeetendra, Simple Kapadia, Pinchoo Kapoor",,
Shama,Kader Khan,Shabana Azmi & Kader Khan,,
Sharada,,Jeetendra & Rameshwari,,
Shaukeen,Basu Chatterjee,"Mithun Chakraborty, Rati Agnihotri",Comedy,
Shikari,,,,
Shradhanjali,,"Raakhee, Suresh Oberoi, Arun Govil",,
Silsila,Yash Chopra,"Amitabh Bachchan, Jaya Bhaduri, Rekha, Sanjeev Kumar, Shashi Kapoor","Romance, Drama",
Tajurba,,,,
Umrao Jaan,Muzaffar Ali,"Rekha
Farooque Sheikh
Naseeruddin Shah",Drama,
Ustadi Ustad Se,,"Mithu, Vinod Mehra, Ranjeeta & Rita Bhaduri",,
"Vasiqedars, the Pensioners of Avadh",,,,
Waqt Ki Deewar,,Pran,,
Wardaat,Ravikant Nagaich,"Mithun Chakraborty, Kaajal Kiran, Iftekhar",Thriller,
Woh Phir Nahin Aaye,,,,
Yaraana,Rakesh Kumar,"Amitabh Bachchan, Amjad Khan, Neetu Singh",Drama,
Yeh Rishta Na Tootay,,,,
Zamaane Ko Dikhana Hai,Nasir Hussain,"Rishi Kapoor, Padmini Kolhapure, Amjad Khan, Kader Khan, Tariq",,
Kanhaiyaa,Khalid Sami,"Master Amit, Master Chaitanya, Asha Chandra","Action, Crime, Drama",
Khatta Meetha,,"Ashok Kumar, Rakesh Roshan, Bindiya Goswami","Comedy, Drama, Family",
