Title,Genre,Director,Cast,Source
Force,"Action, Romance",Nishikant Kamat,"John Abraham, Genelia D'Souza | [62]",
Hum Tum Shabana,"Romance, Comedy",Sagar Ballary,"Tusshar Kapoor, Shreyas Talpade, Minnisha Lamba | [63]",
Saheb Biwi Aur Gangster,"Action, Thriller",Tigmanshu Dhulia,"Jimmy Shergill, Mahie Gill, Randeep Hooda | [64]",
Tere Mere Phere,"Romance, Comedy",Deepa Sahi,"Vinay Pathak, Riya Sen, Jagrat Desai, Sasha Goradia | [65]",
Chargesheet,"Drama, Thriller",Dev Anand,"Dev Anand, Jackie Shroff, Naseeruddin Shah, Divya Dutta | [66]",
Na Jaane Kabse hum hi,Romance,Pammi Somal,"Garry Gill, Amrita Prakash, Sharat Saxena, Gurpreet Ghuggi, Lilette Dubey, Javed Sheikh | [67]",
Rascals,"Comedy, Action",David Dhawan,"Ajay Devgn, Sanjay Dutt, Arjun Rampal, Kangana Ranaut | [68]",
Love Breakups Zindagi,Romance,Sahil Sangha,"Zayed Khan, Dia Mirza | [69]",
Mujhse Fraaandship Karoge,"Comedy, Romance",kupur Ashtana,[70],
My Friend Pinto,"Romance, Comedy, Crime",Raghav Dar,"Prateik Babbar, Kalki Koechlin, Manisha Koirala, Naseeruddin Shah, Shruti Seth | [71]",
Aazaan,"Action, Thriller",Prashant Chadha,"Sachiin J Joshi, Candice Boucher, Arya Babbar, Dalip Tahil | [72]",
Ra.One,SciFi,Anubhav Sinha,"Shahrukh Khan, Kareena Kapoor, Arjun Rampal, Shahana Goswami [73]",
Tell Me O Kkhuda,Drama,"Mayur Puri, Hema Malini","Esha Deol, Vinod Khanna, Rishi Kapoor, Arjan Bajwa, Dharmendra | [74]",
Damadamm!,Comedy,Swapna Waghmare,"Himesh Reshammiya, Purbi Joshi, Sonal Sehgal | [75]",
Loot,Comedy,Rajneesh Thakur,"Govinda, Suniel Shetty, Javed Jaffrey, Shweta Bhardwaj, Hansika Motwani, Mahakshay Chakraborty |",
Miley Naa Miley Hum,"Romance, Drama",Tanveer Khan,"Chirag Paswan, Kangana Ranaut, Kabir Bedi, Poonam Dhillon | [76]",
Rockstar,"Romance, Drama",Imtiaz Ali,"Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor | [77]",
Shakal Pe Mat Ja,Comedy,Shubh Mukherjee,"Shubh Mukherjee, Pratik Katare, Saurabh Shukla, Raghuveer Yadav, Aamna Shariff, Zakir Hussain |",
Desi Boyz,Comedy,Rohit Dhawan,"Akshay Kumar, John Abraham, Deepika Padukone, Chitrangada Singh, Omi Vaidya | [78]",
The Dirty Picture,Drama,Milan Luthria,"Vidya Balan, Naseeruddin Shah, Tusshar Kapoor, Emraan Hashmi | [79]",
Ladies vs Ricky Bahl,Comedy,Maneesh Sharma,"Ranveer Singh, Anushka Sharma, Parineeti Chopra, Dipannita Sharma, Aditi Sharma | [80]",
Jo Hum Chahein,"Romance, Drama",Pawan Gill,"Sunny Gill, Simran Mundi, Alyy Khan, Achint Kaur, Yuri Suri | [81]",
Don 2: The Chase Continues,"Action, Thriller",Farhan Akhtar,"Shahrukh Khan, Priyanka Chopra, Lara Dutta, Boman Irani, Alyy Khan, Kunal Kapoor, Om Puri | [82]",
