Title,Director,Cast,Genre,Notes
Gazal,Ved Madan,"Sunil Dutt, Meena Kumari, Rehman, Mehmood, Nazima, Prithviraj Kapoor, Rajendra Nath, Raj Mehra","Romance, Muslim, Social","Music: Madan Mohan
Lyrics: Sahir Ludhianvi"
Hamara Ghar,K. A. Abbas,"Dilip Raj, Surekha, Sonal Mehta, Rekha Rao, Nana Palsikar, Yasmeen Khan","Children, Adventure","Music: J. P. Kaushik
Lyrics: Ali Sardar Jafri, Muhammad Iqbal"
Hamara Rashtragan a.k.a Our National Anthem,Pramod Pati,,Documentary,
Hameer Hath,Jaswant Jhaveri,"Nirupa Roy, P. Jairaj, Anita Guha, Manhar Desai, Vijay Choudhary, Sapru, B. M. Vyas","Legend, Action","Music: Sanmukh Babu Upadhyay
Lyrics: Neelkanth Tiwari, Uday Khanna, Saraswati Kumar Deepak"
Haqeeqat,Chetan Anand,"Balraj Sahni, Dharmendra",War,"Music: Madan Mohan
Lyrics: Kaifi Azmi"
Hercules,Shriram,"Dara Singh, Nishi, Mumtaz, Helen, Maruti, B. M. Vyas, Indira",Action,"Music: N Dutta
Lyrics: Anand Bakshi"
Ishaara,K. Amarnath,"Joy Mukherjee, Vyjayanthimala, Pran, Subiraj, Azra, Jayant",Melodrama,"Music: Kalyanji Anandji
Lyrics: Majrooh Sultanpuri"
Jahan Ara,Vinod Kumar,"Bharat Bhushan, Mala Sinha, Shashikala, Prithviraj Kapoor, Sunder, Minu Mumtaz, Chandrashekhar, Achla Sachdev, Om Prakash","Historical, Romance, Fiction, Drama","Music: Madan Mohan
Lyrics: Rajendra Krishan"
Jantar Mantar,Radhakant,"Mahipal, Vijaya Choudhury, Ulhas",Fantasy,"Music: Sardar Malik
Lyrics: Hasrat Jaipuri"
Ji Chahta Hai,Bibhuti Mitra,"Joy Mukherjee, Rajshree, Motilal, Shyama, Rajendra Nath, Jeevan, Achla Sachdev","Romance, Drama","Music: Kalyanji Anandji
Lyrics: Hasrat Jaipuri"
Kaise Kahoon,Atma Ram,"Biswajeet, Nanda, Rehman, Naaz, Om Prakash, Manmohan, Asit Sen, Durga Khote",Melodrama,"Music: S. D. Burman
Lyrics: Shakeel Badayuni"
Kashmir Ki Kali,Shakti Samanta,"Shammi Kapoor, Sharmila Tagore, Pran, Anoop Kumar, Nazir Hussain, Madan Puri, Sunder, Tun Tun, Dhumal","Romance, Musical","Music: O. P. Nayyar
Lyrics: S. H. Bihari"
Khufia Mahal,Akkoo,"P. Jairaj, Chitra, Tun Tun, Sherry, Sheikh, Paul Sharma","Fantasy, Horror","Music: Pardesi
Lyrics: Zafar Rahi, Shyam Hindi"
Kohra,Biren Nag,"Waheeda Rehman, Biswajeet, Lalita Pawar, Madan Puri, Manmohan Krishna, Abhi Bhattacharya","Thriller, Mystery","Music: Hemant Kumar
Lyrics: Kaifi Azmi"
Leader,,"Dilip Kumar, Vyjantimala",,
Magic Carpet,,,,
Mahasati Anusuya,,,,
Mahasati Behula,,,,
Maikhana,,,,
Main Bhi Ladki Hoon,,,,
Main Suhagan Hoon,,Mala Sinha,,
Majboor,,"Waheeda Rehman, Biswajeet, Naaz",,
Mera Qasoor Kya Hai,,Nanda,,
Mr. X in Bombay,,"Kishore Kumar, Kumkum",,
Phoolon Ki Sej,,"Ashok Kumar, Vyjanthimala, Manoj Kumar",,
Picnic,,,,
Pooja Ke Phool A. Bhimsingh,,"Mala Sinha, Pran",,
Punar Milan,,,,
Qawwali Ki Raat,,,,
Rahul,,,,
Rajkumar,K. Shankar,"Shammi Kapoor, Sadhana, Rajendranath, Pran","Musical, Action",
Roop Sundari,,,,
Rustom-E-Rome,,,,
Samson,,"Dara Singh, Mumtaz, Nishi",,
Sangam,Raj Kapoor,"Raj Kapoor, Vyjayanthimala, Rajendra Kumar",Social,
Sanjh Aur Savera,Hrishikesh Mukherjee,,,
Sant Gyaneshwar,,,,
Sarfarosh,,,,
Sati Savitri,Shantilal Soni,"Mahipal, Jeevan",Religious,
Shabnam,Aspi Irani,"Mehmood, Helen",,
Shagoon,Nazir,Waheeda Rehman,,
Sharabi,Rajrishi,"Dev Anand, Madhubala, Radhakrishan, Badri Prasad, Daisy Irani, Lalita Pawar, Sulochana, Ram Mohan, Ravikant, Pardesi","Social, Romance",Music: Madan Mohan Lyrics: Rajendra Krishan
Shehnai,S. D. Narang,"Biswajeet, Rajshree, Johnny Walker, Chand Usmani, Nirupa Roy, Praveen Choudhary, Iftekhar, Sapru, Honey Irani, Laxmi Chhaya, Asit Sen","Social, Family, Drama",Music: Ravi Lyrics:Rajendra Krishan
Subhadra Haran,Datta Dharamadhikari,"Shahu Modak, Jayshree Gadkar, Chitra, Suryakant, Arun Sarnaik",Mythology,"Music: Prabhakar Jog
Lyrics: Saraswati Kumar Deepak.[2]"
Tarzan Aur Jalpari,,,,
Tere Dwaar Khada Bhagwan,,,,
Veer Bhimsen,,,,
Woh Kaun Thi?,Raj Khosla,"Manoj Kumar, Sadhana, Prem Chopra,",Horror,
Yaadein,,Sunil Dutt,,
Ziddi,,"Joy Mukherjee, Asha Parekh",,
Zindagi,,"Rajendra Kumar, Vyjantimala",,
