"Title","Director","Cast","Genre","Sources",
"Saazish","","Dharmendra, Saira Banu","","",
"Salaakhen","","Shashi Kapoor, Sulakshana Pandit","","",
"Sankalp","","","","",
"Sanyasi","Sohanlal Kanwar","Manoj Kumar, Hema Malini, Prem Chopra, Pran","Drama","",
"Sewak","","Vinod Khanna, Neetu Singh","","",
"Sholay","Ramesh Sippy","Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan, Hema Malini, Jaya Badhuri, Mac Mohan, Sachin, Asrani, Jagdeep","Drama, Action, Romance","",
"Sunehra Sansar","","Rajendra Kumar, Hema Malini","","",
"Toofan","","Vikram, Priyadarshini","","",
"Toofan Aur Bijlee","Homi Wadia","Zaheera, Arvind Kumar, Imtiaz, Randhawa, Bhagwan, Tun Tun, Mohan Choti, Habib","Action","",
"Tumhara Kalloo","","","","",
"Uljhan","","Sanjeev Kumar, Sulakshana Pandit","","",
"Umar Qaid","","Jeetendra, Vinod Mehra, Sunil Dutt, Reena Roy, Moushumi Chatterjee","","",
"Vandana","","","","",
"Warrant","","Dev Anand, Zeenat Aman, Pran","","",
"Zakhmee","","Sunil Dutt, Asha Parekh, Reena Roy, Rakesh Roshan, Tariq","","",
"Zameer","","Amitabh Bachchan, Saira Banu","","",
"Zinda Dil","","Rishi Kapoor, Neetu Singh, Zahira, Pran","","",
"Zindagi Aur Toofan","","Sajid, Rehana Sultan, Yogeeta Bali","","",
"Zorro","","Navin Nischol, Rekha","","",
