Title,Director,Cast,Genre,Notes
Sukhi Jeevan,"Bhagwan, Harishchandra","Bhagwan, Ashalata, Harishchandra, Nazira, Bibijan, W. M. Khan, Shyam Kumar, Samson",Social,"Music: Ram Chitalkar
Lyrics: M. R. Kapoor"
Swaminath,Wajahat Mirza,"Shobhana Samarth, Prem Adib, Keki Adajania, Majid, K. N. Singh, Bibjan, Jilloobai",Social,"Music: B. N. Bali
Lyrics:"
Swapna,Zia Sarhadi,"E. Billimoria, Kaushalya, Balwant Singh, Alaknanda, Bhudo Advani",Social,"Music: Shanti Kumar
Lyrics: Tanveer Naqvi"
Tamanna,Phani Majumdar,"Nargis, Suraiya, P. Jairaj, Leela Desai, Karan Dewan, Jagdish Sethi, K C Dey, Shanta Kumari",Social,"Music: K. C. Dey
Lyrics: S K Kalla"
Tamasha,Dwarka Khosla,"Sardar Akhtar, Devaskar, W. M. Khan, Urmila Devi, Gope, Minoo Cooper, Samson",Social,"Music: Pratap Mukherjee
Lyrics: Waheed Qureshi"
Ujala,K. M. Multani,"Naseem Banu, Prithviraj Kapoor, Mubarak, Jillani, Rattanbai, Mirza Musharraf, Khan Mastana",Social,"Music: Bashir Dehlvi
Lyrics:"
Uljhan,N.R. Acharya,"Sardar Akhtar, Mazhar Khan, Anjali Devi, Bhim, Amritlal, Rajkumari Shukla, Krishnakant Amir Banu",Social,"Music: Ramchandra Pal
Lyrics:"
Ulti Ganga,Keshavrao Dhaiber,"Paresh Bannerjee, E. Tarapore, Brijrani, Sadat Ali, Mehboob Khan, Gulab, Pramila, Abu Bakar, Athavale, Putlibai",Social,"Music: G. D. Kapoor
Lyrics: Munshi Abdul Baki"
Vasantsena,Gajanan Jagirdar,"Gajanan Jagirdar, Shahu Modak, Vanamala, Sunalini Devi, Vimla Tripathi, E. Tarapore, Navin Yagnik, Raj Vishwas, Nazir Bedi",Drama,"Based on the play Mricchakatika (The Toy Cart) around 2nd to 5th century. Music: Master Krishnarao
Lyrics: Neelkanth Tiwari, D. N. Madhok"
Vijay,Mohan Sinha,"Durga Khote, Harish, Husn Banu, N. A. Ansari, Maya Devi, Sankatha Prasad, Agha",Social,"Music: Anil Biswas
Lyrics: Safdar Aah"
Yaad,Mazhar Khan,"Veena, Satish Batra, Mazhar Khan, Agha , Azurie, Shahzadi, Devaskar, Ram Avtar, Hadi",Social,"Music: Datta Naik
Lyrics: Arzu Lakhnavi"
Zamindar,Moti B. Gidwani,"Shanta Apte, Manorama, Ghulam Mohammed, Azmal, M. Esmail, S. D. Narang, Khairati, Durga Mota",Social,"Music: Ghulam Haider
Lyrics: Qamar Jalalabadi"
Zevar,K. Amarnath,"E. Bilimoria, Jayant, Indurani, Veena, Rajkumari, Jagan, Mirajkar, Badri Prasad, Rama Shukal",Action,"Music: Pandit Badri Prasad
Lyrics: D. N. Madhok"
