"Title","Director","Cast","Genre","Sources",
"Paisa Yeh Paisa","Sohanlal Kanwar","Bindu, Gulshan Grover, Pinchoo Kapoor","Action, Crime, Drama","",
"Pataal Bhairavi","K. Bapaiah","Jeetendra, Jayapradha, Pran","Fantasy, Drama","",
"Paththar","Deepak Bahry","Om Puri, Anuradha Patel, Deepika","Crime","",
"Patthar Dil","Surendera Mohan","Padmini Kolhapure, Danny Denzongpa, Kader Khan","","",
"Phaansi Ke Baad","Harmesh Malhotra","Ajit, Vikas Anand, Bandini","Drama","",
"Phir Aayee Barsat","Jaiprakashk Vinayak","Harindranath Chattopadhyay, Saeed Jaffrey, Javed Khan","Romance","",
"Piya Milan","","Sachin, Sadhana Singh","","",
"Pighalta Aasman","Shammi","Shashi Kapoor, Rakhee Gulzar, Rati Agnihotri","Comedy, Drama, Romance","",
"Pyaari Bhabhi","K.C. Agarwal","Lalita Pawar, Kanwaljit Singh","","",
"Pyar Jhukta Nahin","Vijay Sadanah","Mithun Chakraborty, Padmini Kolhapure, Danny Denzongpa","Family, Romance","",
"Pyari Behna","Bapu","Mithun Chakraborty, Padmini Kolhapure, Tanvi Azmi","Action, Comedy, Drama","",
"Rahi Badal Gaye","Ravi Tandon","Rishi Kapoor, Shabana Azmi, Padmini Kolhapure","Romance","",
"Ram Tere Kitne Nam","P. Madhavan","Sanjeev Kumar, Rekha, Prem Chopra","Drama, Family","",
"Ram Teri Ganga Maili","Raj Kapoor","Rajiv Kapoor, Mandakini, Divya Rana, Shammi Kapoor, Kulbhushan Kharbanda & Sushma Seth","","",
"Ramkali","Sham Ralhan","Hema Malini, Shatrughan Sinha, Nirupa Roy","","",
"Rehguzar","","","","",
"Rusvai","","Sanjeev Kumar, Raj Babbar","Musical","",
"Saagar","Ramesh Sippy","Rishi Kapoor, Kamal Haasan, Dimple Kapadia, Saeed Jaffrey, Nadira","","",
"Sajan Tara Sambharna","Abbas-Mastan","","","",
"Sanjhi","","Sadashiv Amrapurkar, Naina Behl, Goga Kapoor","Drama","",
"Sanjog","K. Vishwanath","Jeetendra, Jayapradha, Vinod Mehra","Romance","",
"Sarfarosh","","Asrani, Bharat Bhushan, Bindu, Pran","","",
"Sautela Pati","B. R. Ishara","Raj Kiran, Devendra Khandelwal, Asha Sachdev","","",
"Shiva Ka Insaaf","Raj N. Sippy","Birbal, Poonam Dhillon, Gulshan Grover","","",
"Sur Sangam","K. Vishwanath","Girish Karnad, Jayapradha, Sachin","Comedy, Drama, Musical","",
"Surkhiyaan (The Headlines)","Ashok Tyagi","Arun Bakshi, Brahm Bhardwaj, Krishan Dhawan","Action, Crime, Drama","",
"Tawaif","B. R. Chopra","Ashok Kumar, Rishi Kapoor, Rati Agnihotri","Comedy, Drama, Romance, Family","",
"Telephone","Shyam Ramsay, Tulsi Ramsay","Vikas Anand, Parveen Babi, Dr. Satish Chopra","Thriller","",
"Teri Meherbaniyan","Vijay Reddi","Jackie Shroff, Poonam Dhillon, Raj Kiran","Action, Crime, Drama, Family","",
"Teri Pooja Kare Sansaar","Bharat Kapoor","","","",
"Trikal","Shyam Benegal","Leela Naidu, Neena Gupta, Anita Kanwar","Drama","",
"Triveni","Rajan Thakur","Rati Agnihotri, Raj Babbar, Purnima","","",
"Ulta Seedha","Subodh Mukerji","Raj Babbar, Rati Agnihotri, Deevan Verma","Comedy","",
"Uttarayan","Lekh Tandon","","","",
"Wafadaar","Narayana Rao Dasari, Pilla Srinivas","Rajnikanth, Padmini Kolhapure, Vijayata Pandit","","",
"Yaadon Ki Kasam","Vinod Dewan","Mithun Chakraborty, Zeenat Aman, Shakti Kapoor","Action","",
"Yaar Kasam","K. Prasad","Zeenat Aman, Raj Babbar, Anita Raj","","",
"Yudh","","Anil Kapoor, Tina Munim, Jackie Shroff, Pran","","",
"Zabardast","Nasir Husain","Sanjeev Kumar, Sunny Deol, Rajiv Kapoor","Action, Drama","",
"Zamana","Ramesh Talwar","Rajesh Khanna, Rishi Kapoor, Poonam Dhillon","Action, Crime, Drama, Thriller, Romance","",
"Zulm Ka Badla","K. Prasad","Ameeta, Minoo Babbar, Master Bunty","Action, Crime, Drama","",
