Title,Director,Cast,Genre,Notes,,,,
Samrat Prithviraj Chauhan,Harsukh Bhatt,"Jairaj, Anita Guha, Prem Adib, Ulhas, Sapru, B. M. Vyas, Leela Mishra","Historical, Epic",Music: Vasant Desai Lyrics: Bharat Vyas,,,,
Santan,Jyoti Swaroop,"Rajendra Kumar, Kamini Kadam, Nazir Hussain, David, Leela Mishra, Manorama","Family, Social",Music: Dattaram Lyrics: Hasrat Jaipuri,,,,
Sati Vaishalini,Sadhu Singh,"Trilok Kapoor, Krishna Kumari, Tiwari, Lalita Pawar, Kamal Kapoor, Sulochana",Devotional,Music: Premnath Lyrics: Bharat Vyas,,,,
Satta Bazaar,Ravindra Dave,"Balraj Sahni, Meena Kumari, Suresh, Vijaya Choudhary, Johnny Walker, Tiwari, Asit Sen","Family, Social","Music: Kalyanji Anandji Lyrics: Shailendra, Hasrat Jaipuri, Indeevar, Gulshan Bawra",,,,
Sawan,R. Riwari,"Bharat Bhushan, Ameeta, Achala Sachdev, Jeevan, Tiwari, Helen","Romance, Musical",Music: Hansraj Behl Lyrics: Prem Dhawan,,,,
Sazish,Surya Kumar,"Ranjan, Nalini Chonkar, B. M. Vyas, Randhir","Action, Social",Music: S. D. Batish Lyrics: Qamar Jalalabadi,,,,
School Master,B. R. Panthulu,"Karan Dewan, Shakila, B. Saroja Devi, Kamini Kadam, Jawahar Kaul, B. R. Panthalu","Social, Family",Music: Vasant Desai Lyrics: Pradeep,,,,
Shararat,H. S. Rawail,"Kishore Kumar, Raaj Kumar, Meena Kumari, Kumkum, Rajendra Nath, Sunder, Nazir Kashmiri",Comedy,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,,,
Sujata,Bimal Roy,"Nutan, Sunil Dutt, Shashikala, Sulochana, Lalita Pawar, Tarun Bose, Baby Farida","Social, Family",Music: S. D. Burman Lyrics: Majrooh Sultanpuri,,,,
Swarg Se Sundar Desh Hamara,Pravin Kumar,"Raaj Kumar, Sarita, Kanhaiyalal",Social,Music: S. Banerjee,,,,
Tikdambaaz,Shriram Bohra,"Nigar Sultana, Mahipal, Tiwari, Rajan Kapoor, Lillian",,Music: B. N. Bali Lyrics: Madan Mohan,,,,
Tipu Sultan,Jagdish Gautam,"Jairaj, Anita Guha, Suresh, Krishna Kumari, Roopmala, Nazir Kashmiri",Historical,Music: S. D. Batish Lyrics: Qamar Jalalabadi,,,,
Ujala,Naresh Saigal,"Shammi Kapoor, Mala Sinha, Raaj Kumar, Kumkum, Leela Chitnis, Dhumal","Social, Romance","Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,,,
Zara Bachke,N. A. Ansari,"Suresh, Nanda, Johnny Walker, Murad, Sapru, Anwar Hussain, Tun Tun, Helen, Tony Walker, Nilofar","Action, Drama","Music: Nashad (Shaukat Dehlvi Nashad) Lyrics: Asad Bhopali, Raja Mehdi Ali Khan, Khumar Barabankvi",,,,
