"Title","Director","Cast","Genre","Sources",
"Mere Bhaiya","Satyen Bose","Vijay Arora, Suresh Chatwal","Drama","",
"Milap","B.R. Ishara","Shatrughan Sinha, Danny Denzongpa","Action","",
"Mere Jeevan Saathi","Ravi Nagaish","Rajesh Khanna, Tanuja","Romance","",
"Mom Ki Gudiya","Mohan Kumar","Ratan Chopra, Tanuja","Drama","",
"Pakeezah","Kamal Amrohi","Raj Kumar, Meena Kumari, Ashok Kumar","Drama","",
"Parchhaiyan","Sharankumar Chand","Vinod Khanna, Bindu","Drama","",
"Parichay","Sampooran Singh Gulzar","Jeetendra, Jaya Bhaduri, Pran","","",
"Piya Ka Ghar","Basu Chatterjee","Anil Dhawan, Jaya Badhuri","Drama","",
"Preetam","Bhappi Sonie","Shammi Kapoor, Leena Chandavarkar, Pran","","",
"Pyaar Diwana","Samar Chatterjee","Kishore Kumar, Mumtaz","Comedy","",
"Raampur Ka Lakshman","Manmohan Desai","Randhir Kapoor, Shatrughan Sinha, Rekha","Drama","",
"Raaste Kaa Patthar","Mukul Dutt","Amitabh Bachchan, Shatrughan Sinha","Action","",
"Raja Jani","Mohan Segal","Dharmendra, Hema Malini, Prem Nath","Drama","",
"Rakhi Aur Hathkadi","S.M. Sagar","Ashok Kumar, Asha Parekh","Action","",
"Rani Mera Naam","S.M. Sagar","Ashok Kumar, Prem Nath","Drama","",
"Rivaaj","T. Prakash Rao","Farida Jalal, Mala Sinha","Drama","",
"Roop Tera Mastana","Khalid Akhtar","Jeetendra, Mumtaz, Pran","Romance","",
"Sa-Re-Ga-Ma-Pa","Satyen Bose","Ashok Kumar","Drama","",
"Sabse Bada Sukh","Hrishikesh Mukherjee","Vijay Arora, Utpal Dutt","Drama","",
"Samaanta","Nitin Bose","Dheeraj Kumar","Drama","",
"Samadhi","Prakash Mehra","Dharmendra, Jaya Badhuri, Asha Parekh","Romance","",
"Sazaa","Chand","Kabir Bedi, Rekha, Jeetendra, Ashok Kumar, Yogeeta Bali, Pran","Thriller","",
"Seeta Aur Geeta","Ramesh Sippy","Dharmendra, Sanjeev Kumar, Hema Malini","Romance","",
"Shaadi Ke Baad","L.V. Prasad","Jeetendra, Shatrughan Sinha, Raakhee","Drama","",
"Shararat","Manmohan Desai","Mumtaz, Shatrughan Sinha","Drama","",
"Shayar-e-Kashmir Mahjoor","Prabhat Mukherjee","Balraj Sahni","Drama","",
"Shehzada","K. Shankar","Rajesh Khanna, Raakhee","Drama","",
"Shor","Manoj Kumar","Manoj Kumar, Nanda, Jaya Bhaduri","Drama","",
"Sub Ka Saathi","A. Bhimsingh","Vinod Khanna, Bharathi","Drama","",
"Subah-o-Shyam","Tapi Chanakya","Sanjeev Kumar, Waheeda Rehman","Drama","",
"Sultana Daku","Mohammed Hussain","Helen, Dara Singh","Drama","",
"Tangewala","Naresh Kumar","Mumtaz, Sujit Kumar","Action","",
"Tanhai","Naresh Kumar","Rehana Sultan","Drama","",
"Trisandhya","Raj Marbros","Waheeda Rehman","Drama","",
"Victoria No. 203","Brij","Navin Nischol, Saira Banu, Ashok Kumar, Pran","Drama","",
"Wafaa","Ramanna","Raakhee, Nasir Hussain, Sanjay Khan","Drama","",
"Yeh Gulistan Hamara","Atma Ram","Dev Anand, Sharmila Tagore, Pran","Drama","",
"Zameen Aasmaan","A. Veerappan","Sunil Dutt, Yogeeta Bali","Action","",
"Zaroorat","B.R. Ishara","Reena Roy, Danny Denzongpa","Drama","",
"Zindagi Zindagi","Tapan Sinha","Deb Mukherjee, Waheeda Rehman, Farida Jalal, Ashok Kumar","Romance","",
